cik;ticker;year;filing_date;accession_number;item1a_word_count;risk_count;risk_freq;negative_count;negative_freq;uncertainty_count;uncertainty_freq;llm_risk_score
0000320193;;2015;2015-10-28;0001193125-15-356351;319;1;0.003194888178913738;0;0;1;0.003194888178913738;
0000320193;;2016;2016-10-26;0001628280-16-020309;2704;10;0.004173622704507512;6;0.0025041736227045075;13;0.005425709515859766;
0000320193;;2017;2017-11-03;0000320193-17-000070;3087;11;0.004;8;0.002909090909090909;12;0.004363636363636364;
0000320193;;2018;2018-11-05;0000320193-18-000145;2192;7;0.0035952747817154596;6;0.0030816640986132513;7;0.0035952747817154596;
0000320193;;2019;2019-10-31;0000320193-19-000119;2072;7;0.003389830508474576;3;0.0014527845036319612;6;0.0029055690072639223;
0000320193;;2020;2020-10-30;0000320193-20-000096;2083;7;0.003391472868217054;3;0.0014534883720930232;6;0.0029069767441860465;
0000320193;;2021;2021-10-29;0000320193-21-000105;2675;8;0.0030120481927710845;3;0.0011295180722891566;8;0.0030120481927710845;
0000320193;;2022;2022-10-28;0000320193-22-000108;2397;8;0.003352891869237217;3;0.0012573344509639564;6;0.002514668901927913;
0000789019;;2020;2020-07-30;0001564590-20-034944;636;2;0.003179650238473768;1;0.001589825119236884;0;0;
0000789019;;2021;2021-07-29;0001564590-21-039151;2572;4;0.0015785319652722968;3;0.0011838989739542227;4;0.0015785319652722968;
0000789019;;2022;2022-07-28;0001564590-22-026876;10374;76;0.007288769540615709;72;0.0069051500911096195;267;0.025606598254531505;
0000789019;;2023;2023-07-27;0000950170-23-035122;10101;80;0.00787246604999016;74;0.007282031096240898;267;0.026274355441842156;
